Method,Exam_Score,Bug Type
mbfl muse,0.274703778225,Real
mbfl ochiai,0.28141068634,Real
sbfl opt2,0.00217974513749,Real
sbfl dstar2,0.00217974513749,Real
sbfl barinel,0.00217974513749,Real
sbfl tarantula,0.00217974513749,Real
sbfl ochiai,0.00217974513749,Real
mbfl muse,0.00238095238095,Artificial
mbfl ochiai,0.00595238095238,Artificial
sbfl opt2,0.0130952380952,Artificial
sbfl dstar2,0.0130952380952,Artificial
sbfl barinel,0.0130952380952,Artificial
sbfl tarantula,0.0130952380952,Artificial
sbfl ochiai,0.0130952380952,Artificial
mbfl muse,0.238966202783,Artificial
mbfl ochiai,0.00934393638171,Artificial
sbfl opt2,0.775347912525,Artificial
sbfl dstar2,0.775347912525,Artificial
sbfl barinel,0.775347912525,Artificial
sbfl tarantula,0.775347912525,Artificial
sbfl ochiai,0.775347912525,Artificial
mbfl muse,0.000172398931127,Artificial
mbfl ochiai,0.000172398931127,Artificial
sbfl opt2,0.000387897595035,Artificial
sbfl dstar2,0.000387897595035,Artificial
sbfl barinel,0.000387897595035,Artificial
sbfl tarantula,0.000387897595035,Artificial
sbfl ochiai,0.000387897595035,Artificial
mbfl muse,0.00337268128162,Artificial
mbfl ochiai,0.00758853288364,Artificial
sbfl opt2,0.0160202360877,Artificial
sbfl dstar2,0.0160202360877,Artificial
sbfl barinel,0.0160202360877,Artificial
sbfl tarantula,0.0160202360877,Artificial
sbfl ochiai,0.0160202360877,Artificial
mbfl muse,0.00337268128162,Artificial
mbfl ochiai,0.00801011804384,Artificial
sbfl opt2,0.0160202360877,Artificial
sbfl dstar2,0.0160202360877,Artificial
sbfl barinel,0.0160202360877,Artificial
sbfl tarantula,0.0160202360877,Artificial
sbfl ochiai,0.0160202360877,Artificial
mbfl muse,0.278571428571,Artificial
mbfl ochiai,0.0142857142857,Artificial
sbfl opt2,0.0130952380952,Artificial
sbfl dstar2,0.0130952380952,Artificial
sbfl barinel,0.0130952380952,Artificial
sbfl tarantula,0.0130952380952,Artificial
sbfl ochiai,0.0130952380952,Artificial
mbfl muse,0.00183823529412,Artificial
mbfl ochiai,0.00183823529412,Artificial
sbfl opt2,0.819393382353,Artificial
sbfl dstar2,0.819393382353,Artificial
